District Name,District Code,total_expenditures_per_pupil,CSATestsTaken,one_score,two_score,three_score,four_score,five_score,percent_12,percent_345,Senior_cohort,percent_grad,percent_stillinschool,percentDroppedout
Acton-Boxborough,6000000,"18,957.61",83,4,4,7,33,35,9.60,90.40,439,97.30,2.10,0.70
Advanced Math and Science Academy Charter (District),4300000,"16,675.46",35,1,0,7,11,16,2.90,97.10,141,98.60,1.40,0.00
Amherst-Pelham,6050000,"24,212.57",1,,,,,,,,224,94.20,1.80,3.60
Andover,90000,"20,941.36",40,2,0,4,12,22,5.00,95.00,460,97.60,1.70,0.20
Arlington,100000,"17,933.78",49,4,0,3,16,26,8.20,91.80,346,95.10,4.60,0.30
Ashland,140000,"16,151.91",1,,,,,,,,231,97.40,0.40,1.70
Assabet Valley Regional Vocational Technical,8010000,"24,814.22",13,8,3,1,0,1,84.60,15.40,272,96.30,0.40,3.30
Attleboro,160000,"15,715.51",26,10,5,2,7,2,57.70,42.30,484,93.40,3.10,3.50
Auburn,170000,"15,022.63",10,1,4,2,2,1,50.00,50.00,176,91.50,6.80,1.70
Ayer Shirley School District,6160000,"18,363.89",10,4,1,2,2,1,50.00,50.00,86,93.00,3.50,2.30
Barnstable,200000,"19,121.39",9,,,,,,,,405,81.50,12.60,5.40
Bedford,230000,"21,372.70",19,0,1,2,6,10,5.30,94.70,189,95.80,2.60,1.60
Belmont,260000,"17,450.83",36,1,2,8,8,17,8.30,91.70,322,98.80,1.20,0.00
Berkshire Hills,6180000,"26,103.50",1,,,,,,,,148,92.60,4.70,2.70
Beverly,300000,"17,005.92",1,,,,,,,,360,90.30,6.90,1.90
Boston,350000,"26,589.17",136,43,9,26,26,32,38.20,61.80,3867,78.80,13.10,7.50
Boston Collegiate Charter (District),4490000,"23,073.48",9,,,,,,,,69,91.30,7.20,1.40
Bourne,360000,"21,037.86",8,,,,,,,,114,93.90,1.80,3.50
Braintree,400000,"17,464.59",23,0,4,7,7,5,17.40,82.60,435,96.10,1.60,2.10
Brockton,440000,"17,067.61",17,14,0,3,0,0,82.40,17.60,1153,77.20,11.40,8.30
Brooke Charter School (District),4280000,"21,044.44",17,5,7,2,1,2,70.60,29.40,42,78.60,11.90,9.50
Brookline,460000,"25,689.75",30,4,5,2,3,16,30.00,70.00,509,94.90,4.50,0.60
Burlington,480000,"24,192.14",17,6,5,3,2,1,64.70,35.30,254,93.30,6.30,0.40
Cambridge,490000,"35,113.70",52,5,5,16,10,16,19.20,80.80,499,90.80,5.60,3.20
Canton,500000,"19,829.14",1,,,,,,,,260,96.90,2.30,0.40
Chelmsford,560000,"17,193.10",7,,,,,,,,379,95.30,2.60,0.30
Cohasset,650000,"20,525.08",3,,,,,,,,131,97.70,2.30,0.00
Concord-Carlisle,6400000,"23,344.72",19,0,0,1,10,8,0.00,100.00,314,98.40,1.60,0.00
Dartmouth,720000,"16,107.25",14,7,1,4,1,1,57.10,42.90,272,92.30,3.70,3.30
Dedham,730000,"24,010.81",13,8,1,2,2,0,69.20,30.80,189,91.50,4.20,4.20
Dennis-Yarmouth,6450000,"21,557.51",1,,,,,,,,180,85.00,9.40,5.00
Dighton-Rehoboth,6500000,"16,537.96",1,,,,,,,,216,96.30,1.40,2.30
